飛鳥ソーマ,陰陽大戦記
山口久美子,ごくせん
陽炎,バジリスク
ノゾミ,ダイヤモンド&パール
百枝まりあ,おおきく振りかぶって
来島また子,銀魂
勾陣,少年陰陽師
木村貴子,かんなぎ
リンダ・ヴァスティ,機動戦士ガンダム00
アーメイ,ドルアーガの塔
高橋麻耶,アマガミ
阿世知今日子,プリティーリズム
モトハル姉,男子高校生の日常
石川実,アイドルマスターDSドラマCD版
玲香,ドリームクラブ
リョク,リルぷりっ
"",""
