有澤隆文,ARMORED CORE for Answer
ラチェット（イラスト中央）,トランスフォーマー
ルバンテス・デ・レオン,ソウルキャリバーシリーズ
ドック・ハドソン,カーズシリーズ
大川平次渦正(学園長),忍たま乱太郎＊1
ダース・シディアス(パルパティーン皇帝),スター・ウォーズシリーズ※1
イカリ,インサイド・ヘッド
スキナー,レミーのおいしいレストラン
