ドクター・キリコ,ブラック・ジャック
敖潤,幻想魔伝最遊記
服部平蔵,名探偵コナン
アポロン,聖闘士星矢天界編序奏～overture～
三島一八,鉄拳
ポンコツ,破壊魔定光
ジャバウォック,べるぜバブ
ベール,ドキドキ!プリキュア
雑賀譲二,PSYCHO-PASS
ヤハビオ,血界戦線
セニョール・ピンク,ONEPIECE
先代黄金騎士,牙狼-GARO- -炎の刻印-
ドルマムゥ,ディスク・ウォーズ:アベンジャーズ
風鳴八紘,戦姫絶唱シンフォギアGX
タクマ,夏目友人帳
シルバーファング,ワンパンマン
ヒット,ドラゴンボール超
クラマ,フルメタル・パニック! Invisible Victory
藤堂三郎太,青の祓魔師 京都不浄王篇
范堺,銀魂※1
オイゲン,グランブルーファンタジー※2
ケニー・アッカーマン,進撃の巨人
