立川郁美,こみっくパーティー
鬼瓦まお,陸上防衛隊まおちゃん
猪飼ヒフミ,こいこい7
レ・ミィ,ゾイドジェネシス
フリ・テン,ゾイドジェネシス
ヤヨイ・オールター,舞-乙HiME
鳴滝風香,魔法先生ネギま!
ペペ,しゅごキャラ!
北野ソーラ,ドージンワーク
月詠小萌,とある魔術の禁書目録/とある科学の超電磁砲
南十字,隠の王
仙童紫,ロザリオとバンパイア
マジョーリカ・ル・フェイ,オオカミさんと七人の仲間たち
カリーナ・ベルリッティ,祝福のカンパネラ
メリロット,ティンクル☆くるせいだーす
ライラ,ルミナスアーク3
"",""
"",""
