ユナ,エクストルーパーズ
多田李衣菜,アイドルマスターシンデレラガールズ
リノン,海賊ファンタジア
ビューネイ,ロードオブヴァーミリオンⅡ
アンナ・セイクリッド,白猫プロジェクト
エアグルーヴ,ウマ娘プリティーダービー
マリン,ゼルダ無双
トレサ・コルツォーネ,オクトパストラベラー
安条まい,あんさんぶるガールズ!
シリアス,アズールレーン
