トレイン=ハートネット,BLACKCAT
雲雀恭弥,家庭教師ヒットマンREBORN!
風（フォン）,家庭教師ヒットマンREBORN!
鬼灯水月,NARUTO
紗伊阿九斗,いちばんうしろの大魔王
バロン・アベル,アラド戦記〜スラップアップパーティ〜
小野寺律,世界一初恋
葉山隼人,やはり俺の青春ラブコメはまちがっている。
クロード・クローデル,異国迷路のクロワーゼ
杉崎鍵,生徒会の一存
ディ・ロイ・リンカー,BLEACH
ヒビキ・レイティス,FAIRYTAIL
ケルブレム(通常時),幻影ヲ駆ケル太陽
楚神ウリエ,DancewithDevils
芹沢イサミ,バトルスピリッツ覇王
白銀謙信,バトルスピリッツ烈火魂
アヴィリオ,91Days
画図町筆,めだかボックス
ショウ,プリティーリズム・オーロラドリーム
