ミナキ,ポケットモンスター
油女シノ,NARUTO
ユン,精霊の守り人
テュート,鉄腕バーディーDECODE
ジョージ加藤,ライブオン
真庭川獺,刀語
堺良則,GIANTKILLING
瓶子吉久,バクマン。
タナトス,聖闘士星矢 THE LOST CANVAS 冥王神話
ヴェント,アンリミテッド：サガ
マグニス,テイルズオブシンフォニア
ピエール・ゴダン,イナズマイレブン
ジェノン,ブレイズ・ユニオン
猪尾亜久里,キスダム
ダイブマン,ロックマンエグゼ
哉生優,銀装騎攻オーディアン
オルオ・ボザド,進撃の巨人
シュラ,聖闘士星矢 Legend of Sanctuary
ラバーソール,ジョジョの奇妙な冒険スターダストクルセイダース
ワゴン,トリコ
スパイダーマン,アルティメットスパイダーマン、ディスク・ウォーズ:アベンジャーズ
花井春樹,スクールランブル
パイソン,ファイアーエムブレムEchoes
楊寧(子誠)〈左側〉,Spiritpact
シャーロック・ホームズ,大逆転裁判
ツンドラマン,ロックマン11
"",""
