テンテンくん,花さか天使テンテンくん
プルー,RAVE
ヤシチ,ミルモでポン!シリーズ
ぜんまいざむらい,ぜんまいざむらい
ウォーターSHIN-MENスィ,クレヨンしんちゃん
トモちゃん,あずきちゃん
トーブ,イナズマイレブンGOクロノ・ストーン
ミカエル(画像一番後ろ),よんでますよ、アザゼルさん。
ブウモ,ふしぎ星のふたご姫
ハジメ,レレレの天才バカボン※メイン画像右の人物。
