北上麗花,アイドルマスターミリオンライブ!
篠山小春,AGC38
翔ちゃん,ロボットガールズZ
茨木華扇,「東方M-1ぐらんぷり」
風見幽香,「東方M-1ぐらんぷり」
蘇我屠自古,「東方M-1ぐらんぷり」
藤原妹紅,「第2回東方M-1ぐらんぷりR」
卯月神楽,「拡張少女系トライナリー」
"",「」
