カオラ・スゥ,ラブひな
和谷義高、楽平,ヒカルの碁
クラウド,マシュマロ通信
パンタ,ミルモでポン!
日野香穂子,金色のコルダ
辺里唯世,しゅごキャラ!
猿柿ひよ里,BLEACH
霞大路瑠璃千代,BLEACH
マキ,みなみけ
カサンドラ・アレクサンドル,ソウルキャリバーシリーズ
カットマン,ロックマンロックマン
セイ(真ん中),リルぷりっ
徹之進,ワンワンセレプー それゆけ!徹之進
結城カイト,電脳冒険記ウェブダイバー
空条ホリィ,ジョジョの奇妙な冒険 スターダストクルセイダース
小日向かなで,金色のコルダBlue♪Sky
