超鈴音,魔法先生ネギま!
ウィンリィ・ロックベル,鋼の錬金術師FULLMETAL ALCHEMIST
澤倉美咲,WHITEALBUM
アルマ,ジュエルペットてぃんくる☆
サイトヒメア,いつか天魔の黒ウサギ
稲葉ナツミ,クロスファイトビーダマン
丹生美森,SKETDANCE
セーシェル,Axis powers ヘタリア
ケイリ・グランセリウス,乙女はお姉さまに恋してる 2人のエルダー(OVA)
八木原景子,咲-Saki-阿知賀編
安河内美子,咲-Saki-阿知賀編
神野薫子,お兄ちゃんだけど愛さえあれば関係ないよねっ
シャルロット・ブリュー,機巧少女は傷つかない
