片桐早苗,アイドルマスターシンデレラガールズ
樋口えり,あにトレ!EX
ギャル子,おしえて!ギャル子ちゃん
星宮ゆきな,8beatStory
スペシャルウィーク,ウマ娘プリティーダービー
桜ノ宮苺香,ブレンド・S
毬川紅美,スクールスタードリーム!
リディ,ブレイブソード×ブレイズソウル
クレア,きららファンタジア
桑水せいか,マギアレコード
水島愛梨,オルタナティブガールズ※
レム・ガレウ,異世界魔王と召喚少女の奴隷魔術
音無いちえ,少女☆歌劇レヴュースタァライト -Re LIVE-
エリー,となりの吸血鬼さん
柳瀬舞衣,刀使ノ巫女
