ブルース・バナー / ハルク,アベンジャーズ・アイアンマン3他
呂布トールギス,SDガンダム三国伝 Brave Battle Warriors
物部大樹,東のエデン
宮ノ杜正,華ヤカ哉、我ガ一族
三船入道,新テニスの王子様
墨村正守,結界師
※于禁,真・三國無双シリーズ
イリヤ・クリヤキン,コードネームU.N.C.L.E.
ガンダルヴァ,グランブルーファンタジー
ヴィンスモーク・ニジ,ONEPIECE
