ロミオ・レオーニ,ゴッドイーター2
藤原優介,遊戯王GX
ラマール・ヴァルト,戦場のヴァルキュリア
天地翔太,ときめきメモリアル Girl's Side 2nd Kiss
マーキー,ファイナルファンタジーXIII
桂風汰,アルコバレーノ!
大空カモメ,ライブオン CARDLIVER翔
宮本輝之輔,ジョジョの奇妙な冒険オールスターバトル
クロル,電脳冒険記ウェブダイバー
壬生小太郎,緋色の欠片2 翡翠の雫
安藤翼,学園アリス
メイ,Daylight
半崎義人,ワールドトリガー
中院冷泉,神咒神威神楽（CS版）
柿野眞古都,Starry☆Sky
ブルーギリー,ONEPIECE
百瀬,プレイボール2nd
新橋テツユキ,電光超特急ヒカリアン
新井ラクタロー,あにゃまる探偵 キルミンずぅ
"",""
