白鳥マリア,絶対無敵ライジンオー
龍咲海,魔法騎士レイアース
ククリ,魔法陣グルグル
シマリスくん（TVアニメ版）,ぼのぼの
初野華,勇者王ガオガイガー
磯貝桜,勇者王ガオガイガー
キヨミ（左側）,ポケットモンスター
ミートくん,キン肉マンⅡ世
シャコモン,デジモンアドベンチャー02
ガッシュ・ベル（2代目）※1,金色のガッシュベル!!
チルット,ポケモンAG
谷口聖子,ふたりはプリキュア
プリティーみく,メタルファイターMIKU
神崎あづさ,魔物ハンター妖子
春麗,聖闘士星矢Ω
ゆず姫,アンパンマン
