剛田武,ドラえもん
高倉冠葉,輪るピングドラム
ペンギン一号,輪るピングドラム
平家将臣,CODE:BREAKER
パパ・ンバイ・シキ,黒子のバスケ
寺坂竜馬,暗殺教室
アラン・アダムス,ガンダムビルドファイターズシリーズ
GPベースシステム音声,ガンダムビルドファイターズシリーズ
佐久間学(アクマ),ピンポン
南那城メィジ,Dance with Devils
天童覚,ハイキュー!!
草薙翔一,遊戯王VRAINS
真柄直隆,信長の忍び
ペッシ,ジョジョの奇妙な冒険 黄金の風
ギョーザ,ゾイドワイルド
