小木桃子,ベイブレードバーストpixivimage::s]
ハニー・グッテン,ベイブレードバースト
芦田有莉,アイカツスターズ!
リスト・ユーリ,アイカツスターズ!
ユミコ,少年アシベGO!GO!ゴマちゃん
両々,少年アシベGO!GO!ゴマちゃん
はなび/ナリアサマー,魔法少女?なりあ☆がーるず
金城そら,天使の3P!
沖縄あわも,ずんだホライずん（劇場アニメ）
宮田ゆり,つうかあ
天吹万梨阿,ゾンビランドサガ
四宮かぐや,かぐや様は告らせたい
