リン,トリコ
日野あかね/キュアサニー,スマイルプリキュア
ビッキー,モンスーノ
鹿角聖良,ラブライブ!サンシャイン!!
金剛寺コハク,ガイストクラッシャー
チハル・デ・ルシア,とある飛空士への恋歌
エクソシスト,フランチェスカ(イラスト右)
オフィウクス,FAIRY TAIL
二階堂サキ,ゾンビランドサガ
