お鈴ちゃん,赤ずきんチャチャ
リープ,ケロケロちゃいむ
マチ,HUNTER×HUNTER(1999年版)
スルメ,メダロット
セントナース,メダロット
杉原多紀,ホイッスル!
ジェシ,獣の奏者エリン
ラフィーナ,ぷよぷよシリーズ
リデル,ぷよぷよシリーズ
おにおん,ぷよぷよシリーズ
芝沙織,テニスの王子様
"",""
