高坂穂乃果,ラブライブ!
マルガ・ナルゼ,境界線上のホライゾン
エルザ・クルーシアル,勇者になれなかった俺はしぶしぶ就職を決意しました。
安城トコハ（初代）,カードファイト!!ヴァンガードGシリーズ
天城茉莉音,探偵歌劇ミルキィホームズTD
紅本明里,実は私は
