ベルダンディー,ああっ女神さまっ 小っちゃいって事は便利だねっ＊1
シュウ（松谷修造）,今、そこにいる僕
万田じゅんじ,おジャ魔女どれみ
万田ようこ,おジャ魔女どれみ
まやや,海月姫
妹之山残,CLAMP学園探偵団
フィオ・ピッコロ,紅の豚
珠翠,彩雲国物語
マティルダ・サントメール,灼眼のシャナ
まきこ,たまごっち!
真野晶子,ダンボール戦機＊2
イブ,ダンボール戦機W＊3
ヒノエ,夏目友人帳
ホッシーワ,ハピネスチャージプリキュア!
霧生薫（2代目）,ふたりはプリキュアSplash☆Star
サターン,ポケットモンスター ダイヤモンド&パール
シオン（小桜紫苑）,メカクシティアクターズ
小泉リサ,ラブ★コン
シュウ（シュウゾウ・マツタニ）,レジェンズ 甦る竜王伝説
ビアンカ,ロミオの青い空
アフェランドラ,ONE PIECE
ナミ,ONE PIECE
えい,信長の忍び
