ダイゴ大滝,闘士ゴーディアン
四乃森蒼紫,るろうに剣心
バードマン,パーマン(1983年版)
ジュウザ,北斗の拳
鬼島森吾,はいからさんが通る
クラゲ先輩,遊☆戯☆王ZEXAL II
モルテン,ニルスのふしぎな旅
柊弾児,未来ロボダルタニアス
微笑三太郎,ドカベン
坂田三吉,ドカベン
小馬座のケレリス,聖闘士星矢Ω
津波豪,ゴワッパー5ゴーダム
