ミチタカ※1,ログ・ホライズン
柿助※2,鬼灯の冷徹
桜小路優,ガラスの仮面ですが
エーリッヒ・フォン・レルゲン,サウンドドラマ版幼女戦記
フトシ,ダーリン・イン・ザ・フランキス
フロッグマン,ニンジャスレイヤー(アニメイシヨン)
ゲリュガンシュプ,ワンパンマン
古代王,ワンパンマン
田中信太,暗殺教室※画像右
デュエルチェイサー227,遊戯王ARC-V
