アカオーニ,スマイルプリキュア
ワイズマン / デス・ファントム,美少女戦士セーラームーンCrystal
斎藤さん,TIGER&BUNNY
"フォンデュ,ロアン",リズム怪盗R皇帝ナポレオンの遺産
守鶴,NARUTO
ガラン,七つの大罪
