ストレイト・クーガー,スクライド
ニャンちゅう,ニャンちゅうワールド放送局
副長ゼルモダ,激走戦隊カーレンジャー
ラプラスの魔,ローゼンメイデン
フラッタ,HUNTER×HUNTER(2011年版)
クラストイマジン,仮面ライダー電王
ケシゴムロイド,特命戦隊ゴーバスターズ
エル・マタドーラ,ドラえもんズ ロボット学校七不思議!?
関口しんじ,ちびまる子ちゃん
ミケロ・チャリオット,機動武闘伝Gガンダム
ゲイツ・オルトマン,サイキックフォース
キース・エヴァンス,サイキックフォース
くんくん,ローゼンメイデン
しゅんぎくさん,それいけ!アンパンマン
和美トシオ,アリスSOS
