野田,AngelBeats!
サンレッド,天体戦士サンレッド
西本願司,スクールランブル
草壁哲矢,家庭教師ヒットマンREBORN!
青山光平,遊☆戯☆王5D's
ホンダ・ジョージ,STAR DRIVER 輝きのタクト
