ガビル（左）,マクロス7
黒沢太,爆走兄弟レッツ&ゴー!!
山根,ちびまる子ちゃん
なめざえもん,ぜんまいざむらい
羽根充紀,超速変形ジャイロゼッター
ガマオ,プリキュア5
シトマンドラ,天元突破グレンラガン
滝川陽平,ガンパレード・マーチ(アニメ版)
西垣守,イナズマイレブン
鷹城電光,超者ライディーン
草摩潑春,フルーツバスケット
風真宙人(左),きらりん☆レボリューション(2ndシーズンまで)
セドル,トリコ
ビノールト,HUNTER×HUNTER(2011年版)
赤サソリ,怪盗ジョーカー
