デ・ジ・キャラット/でじこ,デ・ジ・キャラット
玉依シイナ,なるたる
桜田ジュン,ローゼンメイデン
ヴィータ,魔法少女リリカルなのはA's
常月まとい,さよなら絶望先生
大浦可奈子,さよなら絶望先生
丸井円,さよなら絶望先生
武藤環,紅kure-nai
クリスティアーネ・バルクホルン,ストライクウィッチーズ
山中さわ子,けいおん!
宮前かなこ,まりあ†ほりっく
スパーダモン,デジモンクロスウォーズ
豊穣礼佑,未来日記
汐浜陽高,恋と選挙とチョコレート
浅間サクヤ,アカイイト
ミュゼ,テイルズオブエクシリア
ラニ=Ⅷ,Fate/EXTRA
時崎狂三,デート・ア・ライブ
ジャネット・バンロック,ロマンスは剣の輝きⅡ　銀の虹をさがして
ガァルル,プリパラ
