ヒッキー,ミッドナイトホラースクール
坂下リカ,極上!!めちゃモテ委員長シリーズ
田村いわお,俺の妹がこんなに可愛いわけがない
ツインセイザー・ツバイン（イラスト左）,超星艦隊セイザーX
