マチルダ・アジャン,機動戦士ガンダム
カララ・アジバ,伝説巨神イデオン
来生瞳,キャッツアイ
鬼太郎,ゲゲゲの鬼太郎※1
アンパンマン,それいけ!アンパンマン
夢幻魔実也,夢幻紳士
ユキナリ,劇場版ポケットモンスター セレビィ 時を超えた遭遇
トーマス,きかんしゃトーマス※2
ローザ・アフロディア,宇宙戦士バルディオス(劇場版)
キキ,リトルツインスターズ
雨森始,新竹取物語1000年女王※3
オスカル・フランソワ・ド・ジャルジェ,ベルサイユのばら※4
長谷川町子,サザエさん（TVSP）
