森田萌,サムライフラメンコ
ロボ子,世界征服～謀略のズヴィズダー～
鳥飼ひばり,犬神さんと猫山さん
小川真琴（左）,レーカン!
西園寺ここな,ナースウィッチ小麦ちゃんR
逢沢ゆう（右下）,パンでPeace!
宮村雪,大家さんは思春期!※
黄瀬美甘,アクションヒロインチアフルーツ
マテリア シロ・クロ,フレームアームズ・ガール
