鈴凛,シスタープリンセス
クー,星のカービィ
ブレイドナイト(2代目),星のカービィ
かぁたん,カッパの飼い方
文醜/猪々子,恋姫†無双
吉留未春,咲-Saki-
小牧郁乃,ToHeart2
ワドルドゥ（初代）,星のカービィ
椎名廉,好きなものは好きだからしょうがない!!
