米田一基,サクラ大戦シリーズ
黄,DARKER_THAN_BLACK
ジャミトフ・ハイマン,機動戦士Ζガンダム（初代）
インゲ・リーマン,ボトムズシリーズ
エヌ・トロピー,クラッシュバンディクー３・４
ヨハン・イブラヒム・レビル,機動戦士ガンダム(テレビ版)
ヤッターワン,ヤッターマン
トンマノマント,オタスケマン
ゲルサドラ,科学忍者隊ガッチャマンII
ネコマムシ,ONEPIECE
格さん,まんが水戸黄門
ジークジオン,SDガンダム外伝
アカハナ,機動戦士ガンダム(劇場版II)
ドレン,機動戦士ガンダム(劇場版III)
エレク,ザ☆ウルトラマン
