ロミルダ・ガルド,アウトブレイク・カンパニー
ガリル,うぽって!!
ライオン,けものフレンズ
桜野くりむ,生徒会の一存
セレーネ,聖闘士星矢Ω
相生祐子,日常
マジンガーZ（Zちゃん）,ロボットガールズZ
鹿苑寺かおるこ,ワガママハイスペック
