小泉チカ,今日の5の2
津田コトミ,生徒会役員共
こあみ&こまみ,ぷちます!
凰鈴音,インフィニット・ストラトス
猿渡銀兵衛春臣,お兄ちゃんだけど愛さえあれば関係ないよねっ
リー・シェンロン,カードファイト!!ヴァンガード
白崎蓮美,猫神やおよろず
中野あまね※画像左,私がモテてどうすんだ
ナフェ,ブラック★ロックシューター
ナナバ,進撃の巨人
夢幻彼方,劇場版モーレツ宇宙海賊
西深井沙織,普通の女子校生が【ろこどる】やってみた。
アーニャ,星刻の竜騎士
クシナダ,モモキュンソード
佐々木優太,キューティクル探偵因幡
