山本菅助,みどりのマキバオー
突庵望太（イラスト右の男性）ほか,忍たま乱太郎
四郎（イラスト左の男性）,クレヨンしんちゃん
安藤守,賭博黙示録カイジ
ミケランジェロ,ティーンエイジ・ミュータント・ニンジャ・タートルズ(旧テレ東版)
ドラニコフ,ドラえもんズ
スリム(右下),モンタナ・ジョーンズ
ハンソン（イラスト右の男。左はサンソン）,ふしぎの海のナディア
許チョ,蒼天航路
モコモコ,ドラゴンクエスト
アイザック先生,魔法つかいプリキュア!
"",""
