キャプテンシャーク,黄金勇者ゴルドラン
ドラゴ,十二戦支爆烈エトレンジャー
沢邑森,勇者指令ダグオン※下の方
ゼパイル,HUNTER×HUNTER※1999年版
オデュッセウス・ウ・ブリタニア,コードギアス
