コデラ・マサミ,ガンダムビルドファイターズトライ
タカキ・ウノ,機動戦士ガンダム鉄血のオルフェンズ
オットー・スーウェン,Re:ゼロから始める異世界生活
物間寧人,僕のヒーローアカデミア
矢口ハルオ,ハイスコアガール
キリル・ヴルーベリ,DOUBLE DECKER! ダグ&キリル
