星川コウタ,勇者エクスカイザー
カテジナ・ルース,機動戦士Vガンダム
皆本金吾,忍たま乱太郎
下坂部平太（初代）,忍たま乱太郎
そうこ（2代目）,忍たま乱太郎
ジュンジュン,美少女戦士セーラームーン
ぼのぼの（TVアニメ版）,ぼのぼの
J,爆走兄弟レッツ&ゴー!!
ジャネット・ストゥルソン,爆走兄弟レッツ&ゴー!!
一文字豪樹,爆走兄弟レッツ&ゴー!!MAX
伊佐未依衣子/クインシィ・イッサー,ブレンパワード
エコ,コレクター・ユイ
ムンベイ,ゾイド
七宝,犬夜叉
母,あたしンちシリーズ
ぷーちゃん,ヘリタコぷーちゃん
ケロロ,ケロロ軍曹
ジェフリー,フレッシュプリキュア!
氷見友樹,デジモンフロンティア
チャックモン/ブリザーモン,デジモンフロンティア
フクロウ,ONEPIECE
ふぁみ,おジャ魔女どれみナ・イ・ショ
白藤杏子,WORKING!!
ガムドラモン/アレスタードラモン,デジモンクロスウォーズ時を駆ける少年ハンターたち
レジーナ,ドキドキ!プリキュア
"",""
"",""
