スザンナ・ホプキンス,げんしけん二代目
箱庭ゆらぎ,俺の脳内選択肢が、学園ラブコメを全力で邪魔している
伏見いなり,いなり、こんこん、恋いろは。
ジェシカ・シャノン,ディスク・ウォーズ:アベンジャーズ
福田,ガールズ&パンツァー劇場版
テルル,美少女戦士セーラームーンcrystal
草薙ゆま,装神少女まとい
水山のりか,ももくり
胡桃沢=サタニキア=マクドウェル,ガヴリールドロップアウト
オグロプレーリードッグ,けものフレンズ(アニメ)
桐葉,つぐもも
三谷裳ちお,ちおちゃんの通学路
小之森夏音,私に天使が舞い降りた!
"",""
"",""
