ペイオース,ああっ女神さまっ
皇藍華,AIKa
エイミー・マーチ,愛の若草物語
アリス,アリス探偵局
マイメロディ,おねがいマイメロディ
霞桜女,カスミン
水城冴子,ガラスの仮面(平成版)
ルチーナ,機動戦士ガンダムΖΖ
高木ハツ江,きょうの料理ビギナーズ
カプチーノ,シナモロール
ドキンちゃん,それいけ!アンパンマン＊1
バタコさん,それいけ!アンパンマン
シャララ姫,たいむとらぶるトンデケマン
リーム・ストリーム,T・Pぼん
シア,太陽の子エステバン(BS版)
ミイ,楽しいムーミン一家
リドヴィア=ロレンツェッティ,とある魔術の禁書目録
マフラーちゃん,とっとこハム太郎
アマノカズミ,トップをねらえ!
ミニドラ,ドラえもん（テレビ朝日版第1期）
チャミー,ドラえもん 新・のび太の宇宙開拓史
火藍,NO.6＊2
月影春菜,ハートキャッチプリキュア
らぁらのママ,プリパラ
あかボン,Bビーダマン爆外伝
ジジ,魔女の宅急便
メロディ・パトリシア・ノーマン,ミラクルジャイアンツ童夢くん
ネーヤ,無限のリヴァイアス
シャンプー,らんま1/2
