小山ゆうこ(画像左),おジャ魔女どれみドッカ～ン!
小竹哲也,おジャ魔女どれみシリーズ
白雪,シスタープリンセス
黒井みゆき,ロックマンエグゼ
スターマン,ロックマンエグゼ
ナギ,ポケットモンスター アドバンスジェネレーシがいョン
朱子,君が主で執事が俺で
エル,しゅごキャラ!
程昱/風,恋姫†無双
椎名京,真剣で私に恋しなさい!!
ピーチ姫,大乱闘スマッシュブラザーズX
鷹見沢菜月,夜明け前より瑠璃色な
来海さくら,ハートキャッチプリキュア
五星麗奈,ドキドキ!プリキュア
ミュセル・ユーゲント,かんぱに☆ガールズ
