不破鉄人,新テニスの王子様
十王院カケル,KINGOFPRISMbyPrettyRhythm
結城すばる,アイカツスターズ!
颯人,迷家-マヨイガ-
バトル・ビースト,遊戯王ARC-V
東ナオト,タイガーマスクW
レイル,ACCA13区監察課
シバ・ツカサ,ガンダムビルドダイバーズ
不霊夢,遊戯王VRAINS
海老谷,中間管理録トネガワ
