ケーン・ワカバ,機甲戦記ドラグナー
花輪和彦,ちびまる子ちゃん
ブルーレイカー/ウルトラレイカー,勇者エクスカイザー
武者のコージ,南国少年パプワくん
葵新伍,キャプテン翼J
柾木天地,天地無用!
城戸丈,デジモンアドベンチャー
ウイング,HUNTER×HUNTER(1999年版)
範馬刃牙,グラップラー刃牙
若人弘,テニスの王子様
ジークハルト,RAVE
キャンチョメ,金色のガッシュベル!!
キースロン,機動戦士Ζガンダム
イーノ・アッバーブ,機動戦士ガンダムΖΖ
森里螢一,ああっ女神さまっ
平松和広,蒼き伝説シュート!
ネーモン(一番後ろ),デジモンフロンティア
ダメモン,デジモンクロスウォーズ
ゼパイル,HUNTER×HUNTER(2011年版)
木倉ゲン,メタルファイトベイブレードZEROG
モナカ,ドラゴンボール超
フレミング,マリー&ガリー
三沢くん※メイン画像右の人物。,ちびまる子ちゃん
パウンド,ONEPIECE
"",""
"",""
"",""
