ONEPIECE,ゲッコー・モリア
ONEPIECE,ジンベエ＊1
ドラえもん,神成さん＜2005年版以降＞
機動戦士ガンダム（特別版Ⅱ）,アカハナ
機動戦士ガンダム（特別版Ⅲ）,ドレン
ガンダムビルドファイターズトライ,ラルさん＊2
ひぐらしのなく頃に,北条鉄平
ドラゴンボール超,パラガス＊3
宇宙戦艦ヤマト2199,島大吾
北斗の拳（新劇場版）,リハク
マイクロン伝説,グラップ
DEATHNOTE,恐田奇一郎
TIGER&BUNNY,ベン・ジャクソン
イナズマイレブン,吉良星二郎
オルバ・メイヤー,はたらく魔王さま!
