パチクリ,キョロちゃん
青山ハジメ※1,学校の怪談
のっぽくん,とっとこハム太郎
みたらしアンコ,NARUTO
骨女,地獄少女シリーズ
カテリーナ・スフォルツァ,トリニティ・ブラッド
コサギ,ノエイン
エイプリル,DARKER THAN BLACKシリーズ
虎山泉,UN-GO
レイテ・ジョーキン,天元突破グレンラガン
ギミー・アダイ,天元突破グレンラガン
甘糟那由太,ちはやふる
マキナ,デッドマン・ワンダーランド
バイオレート,聖闘士星矢 THE LOST CANVAS 冥王神話
蒼崎橙子,空の境界
レディ・リリス,鬼灯の冷徹
ジル,クロスアンジュ天使と竜の輪舞
松前皐月※1,花咲くいろは
花刈ジン太,BLEACH
日高由梨,ヒカルの碁
フィカーツィア・ラトロワ,トータル・イクリプス
ジェイド・バルフォア,テイルズオブジアビス
ネフリー・オズボーン※2,テイルズオブジアビス
"",""
