美浜ちよ,あずまんが大王
おしりかじり虫,おしりかじり虫(アニメ)
蜂須賀五右衛門,織田信奈の野望
まりえ,おねがい☆ティーチャー
阿部ユリ,カスミン
トキ,けものフレンズ(アニメ版)
ラビー,ケロロ軍曹
ミケ,スケッチブックFULLcolor's
猿飛悟,瀬戸の花嫁(OVA)
神河繭子,sola
かびるんるん,それいけ!アンパンマン(劇場版)
テルリン,たまごっち!
クルモン,デジモンテイマーズ
ピーチ,出ましたっ!パワーパフガールズZ＊1
ユン,トリコ
デザトリアン,ハートキャッチプリキュア
タマゾー,パズドラクロス
シンシア,花右京メイド隊
山田あす,貧乏姉妹物語
ハーブ,ふしぎ星の☆ふたご姫Gyu!
ピュピュ＊2,ふしぎ星の☆ふたご姫Gyu!
グレーテル,BLACKLAGOON
ネル・トゥ/ネリエル・トゥ・オーデルシュヴァンク,BLEACH
ボン太くん,フルメタル・パニック?ふもっふ
ポプ子,ポプテピピック第5話Aパート
田楽マン,ボボボーボ・ボーボボ
シロボン,ボンバーマンジェッターズ
主人公＊3,マンガでわかる!Fate/GrandOrder
