ムーミンママ,楽しいムーミン一家
パトリック・スター,スポンジ・ボブ
エメラルダス,銀河鉄道999（テレビ版）
黒田ひさ乃,ペルソナ4（アニメ版）
ツボネ,HUNTER×HUNTER
チヨバア,NARUTO
西宮いと（イラスト左）,聲の形
磯野フネ,サザエさん※代役
