椎名,angelbeats!
ミレーヌ・ファロウ,爆丸
和久井啓太,デビルサバイバー2
狭間綺羅々,暗殺教室
雪風真弥,ガールフレンド(仮)
ライカ,空を見上げる少女の瞳に映る世界
コール,レゴニンジャゴー
