八嶋(プリキュア),ドキドキ!プリキュア
日浦茜,ワールドトリガー
ラモラック,ディバインゲート
雷門デンキ,BORUTO
一角鬼,ロボットガールズZ
魔女っ子エンビー,オトカドール
ヒツジ,けものフレンズ
メンフクロウ,けものフレンズ
鉋切長光,天華百剣
