涼風青葉,NEW GAME!
エルマ,小林さんちのメイドラゴン
鬼瓦輪,武装少女マキャヴェリズム
結衣,三ツ星カラーズ
草津結衣奈,温泉むすめ
友希ももね,アイカツフレンズ!
