ジャン・クーゴ,SF西遊記スタージンガー
清一色,幻想魔伝 最遊記
センゴク（千石旬介）,電脳都市OEDO808
アパチャイ・ホパチャイ,史上最強の弟子ケンイチ
アグリッパ・メンテナー,∀ガンダム
兜甲児,マジンガーZ
中村一路,よろしくメカドック＊1
