静流,城下町のダンデライオン※
海老名菜々,干物妹!うまるちゃん
千鳥ヶ淵愛音,魔装学園H×H
ベアトリス,プリンセス・プリンシパル
鳥飼来国次,天華百剣
山下,上野さんは不器用
