睦悟郎,天使のしっぽ
ユウタ,マージナルプリンス
豊島園沙武朗,ミラクル☆トレイン
コナー・クルフ,テガミバチ
高野文吾,なるたる
ランバダ,ボボボーボ・ボーボボ
菊地原士郎,ワールドトリガー
"",""
"",""
