北条文乃,もしドラ
藍田織音,AKB0048
桜庭ちとせ,ちとせげっちゅ!!
西沢ミナ,超次元ゲイムネプテューヌmk2
キュアウェーブ / オリナ,ハピネスチャージプリキュア!
なぁな,迷家-マヨイガ-
ハルカ☆ルカ,アイカツスターズ!
野乃本ソメラ,不思議なソメラちゃん
蛯原夏菜子,あいまいみー
テス・ハイツマン,ソフィーのアトリエ
断罪姫ガブリエラ,ウチの姫さまがいちばんカワイイ
香月華,CHAOS;CHILD
ケイト,荒野のコトブキ飛行隊
