スー,ケロケロちゃいむ
キルア=ゾルディック,HUNTER×HUNTER(1999年版)
レオン・D・S・ゲーステ,スターオーシャンEX
リコ,ガンスリンガーガール
朝比奈涼風,涼風
深山美紀,絶対少年
松岡勝治,人造昆虫カブトボーグVxV
田中浩平(青髪),テニスの王子様
ミルク,発明BOYカニパン/超発明BOYカニパン
