ジラフ,宇宙船サジタリウス＊1
トリトン,海のトリトン
燕の甚平,科学忍者隊ガッチャマン
かりあげ正太,かりあげクン
ビルギット・ピリヨ,機動戦士ガンダムF91
ノワール,キラキラ☆プリキュアアラモード
北田秀一,きんぎょ注意報!＊2
ウィル・A・ツェペリ,ジョジョの奇妙な冒険
エル・シド・ピエール,新キャプテン翼
宮城リョータ,スラムダンク
輝進児,星銃士ビスマルク
ソレント,聖闘士星矢
ヘルバット,戦え!超ロボット生命体 トランスフォーマーV
ショウアン,中華一番!
天地無用,ついでにとんちんかん
ユウキ・コスモ,伝説巨神イデオン
バスター,トランスフォーマー 超神マスターフォース
アラシヤマ,南国少年パプワくん
武蔵小金井くん,はれときどきぶた
ゴーストアリババ,ビックリマン
紫炎,風魔の小次郎
ペッカ,牧場の少女カトリ＊3
