レット,RAVE
加藤清澄※1,グラップラー刃牙
ドゥフトモン,デジモンセイバーズ
アル,フルメタル・パニック!
ヴァトー・ファルマン,2003年版鋼の錬金術師
志賀剛司,おおきく振りかぶって
ショウカク※2,陰陽大戦記
リック・アンダーソン,爆転シュートベイブレードGレボリューション※
