チェザ,WOLF'S RAIN
ソーマ・ピーリス（マリー・パーファシー）,機動戦士ガンダム00シリーズ
ハロ,機動戦士ガンダム00シリーズ
ルル=ベル,D.Gray-Man
二宮知枝,デビルマンレディー
水主川先生,はなまる幼稚園
アナーキー・パンティ,パンティ&ストッキングwithガーターベルト
ホリー・バージニア・ジョーンズ,HEROMAN
ホノカ,ポケットモンスター ダイヤモンド&パール
松永芙美,もっけ
"",pixivimage::s]
"",pixivimage::s]
