フェンリル,真・女神転生デビルチルドレン
ピュンマ,サイボーグ009(2001年版)
プリンプリン,コロッケ!
袋田隆治,キルラキル
ゼフェル,アンジェリーク
アレイスター・クロウリー三世,D.Gray-man
ハルセン,アラド戦記
ケシカス,ケシカスくん
エンポリオ・イワンコフ(2代目),ONEPIECE
サニー,トリコ
池田光流,ここはグリーンウッド
ジライア,天外魔境
金田正太郎,AKIRA
ショーン,ストリートファイター
イエガー,テイルズオブヴェスペリア
桜葉克己,暗闇の果てで君を待つ
ピーターパン,ピーターパン
KUSANAGI,KOF
シルバーボルト,ビーストウォーズメタルス
ロードバスター,トランスフォーマースーパーリンク
レックガー,トランスフォーマー アニメイテッド
当真勇,ワールドトリガー
ハードシェル,超ロボット生命体 トランスフォーマー プライム
姫神茜,ハヤテのごとく!
ニコラス・バセロン,トップをねらえ2!
シャンパ,ドラゴンボール超
マイク・サウンダース13世※,勇者王ガオガイガー
武内樹,頭文字D
