カンクロウ,NARUTO
メガファン,ボボボーボ・ボーボボ
キューエル・ソレイシィ,コードギアス
支倉未起隆,ジョジョの奇妙な冒険 ダイヤモンドは砕けない
入道露晴(イラスト右),ロックマンエグゼ
観月獅堂,夜桜四重奏
染岡竜吾,イナズマイレブン/イナズマイレブンGO
万丈一道,イナズマイレブン
黒木善三,イナズマイレブンGO
エイボン,ソウルイーター
スペイシーっち,たまごっち!
リュウ,ストリートファイター(OVA)
ユルギス,テイルズオブヴェスペリア(劇場版)
那嘉神エル,カードファイト!!ヴァンガード
ソー,ディスク・ウォーズ:アベンジャーズ
エミリオ・リビシ,機動戦士ガンダム00
犀川創平,すべてがFになる THE PERFECT INSIDER
