ヘポイ・ド・プー,RPG伝説ヘポイ
エスピオ,ソニックシリーズ
仁王雅治,テニスの王子様
三沢大地,遊戯王GX
白銀狂四郎,銀牙伝説WEED
甲斐谷陸,アイシールド21
石動純,truetears
藤巻,Angel beats!
G,家庭教師ヒットマンREBORN!
ファーブ・フレッチャー,フィニアスとファーブ（※画像右）
カモノハシペリー,フィニアスとファーブ
