水嶋沙依理,恋愛ラボ
鬼ノ城紅,愛・天地無用!
鬼灯火苗,ウィッチクラフトワークス
横山杏子,監獄学園
小林賢也,僕だけがいない街
鳳チャチャ,Tokyo7thシスターズ
ペパロニ,ガールズ&パンツァー
ムラカミ,ガールズ&パンツァー 最終章
グロリア・タイラー,遊戯王ARC-V
東方仗助(幼少期),ジョジョの奇妙な冒険 ダイヤモンドは砕けない
虹色にの,アイドルタイムプリパラ
ジュジュ・クー・シュナムル,魔法陣グルグル
アルバス,ゼロから始める魔法の書
茅野カエデ,VOMIC版暗殺教室
レナウン,戦艦少女R
皇すなお,つぐもも
ツィーラン,旋光の輪舞2※
山下秀子,ハイスクール・フリート
ドロシー,プリンセス・プリンシパル
綾波,アズールレーン
ロドニー,アズールレーン
