メズ,アカメが斬る!
櫻田栞,城下町のダンデライオン
小原鞠莉,ラブライブ!サンシャイン!!
牛丸ミク/ミクラス,怪獣娘 ～ウルトラ怪獣擬人化計画～
近藤亜紗子,三者三葉
静御前,鬼斬
潮井梨ナ,魔法少女サイト
邪神ちゃん,邪神ちゃんドロップキック
